Lat,Temperature,Salinity,DGM,ICE,WS,GEM
74.12251055,0.816,27.137,0.037,0,6.946,1.199
74.47481521,-0.146,26.951,0.042,0.2726,1.903,1.135
74.55128554,-0.356,27.423,0.051,0.2807,3.466,1.111
74.66220997,-0.405,28.054,0.061,0.432,3.92,1.148
74.736151,-0.386,28.408,0.071,0.218,4.21,1.139
74.7928271,-0.458,28.775,0.066,0.1244,5.671,1.05
74.81885183,-0.394,28.596,0.061,0.0918,8.036,1.023
74.84875026,-0.378,27.905,0.078,0.2245,8.499,1.042
74.89669075,-0.457,27.869,0.084,0.2329,7.794,1.128
74.94654796,-0.44,27.682,0.088,0.2792,9.128,1.215
74.99684871,-0.405,27.56,0.087,0.3614,7.579,1.237
75.0268831,-0.418,27.641,0.089,0.6001,5.549,1.23
75.03423388,-0.443,27.643,0.109,0.5022,4.723,1.206
75.0271124,-0.403,27.816,0.11,0.353,3.978,1.209
75.03004746,-0.406,27.891,0.101,0.146,2.847,1.198
75.069474,-0.299,27.946,0.096,0,2.96,1.185
75.09035874,-0.296,27.957,0.096,0,3.015,1.188
75.08785403,-0.204,28.001,0.107,0,2.721,1.192
75.47883829,0.539,27.563,0.067,0,5.262,1.128
75.56396094,0.529,27.595,0.083,0,7.959,1.27
75.7085761,0.521,27.597,0.086,0,9.196,1.263
75.87066646,0.218,27.863,0.093,0,9.63,1.24
75.90507231,0.194,27.78,0.086,0,10.456,1.216
75.8627201,0.164,27.803,0.087,0,10.545,1.217
75.92058262,0.087,27.908,0.098,0,8.381,1.215
75.97266208,0.185,27.758,0.089,0,8.291,1.203
76.03532781,0.073,28.019,0.102,0,11.192,1.208
76.05993124,-0.062,28.28,0.101,0,10.695,1.21
76.08347358,-0.404,28.753,0.113,0,9.735,1.18
76.06411143,-0.428,28.732,0.123,0,9.983,1.179
76.16450406,-0.414,28.71,0.115,0.0058,10.676,1.17
76.32153417,-0.452,28.81,0.12,0.0657,10.31,1.169
76.39173179,-0.472,28.784,0.119,0.042,11.722,1.17
76.46024695,-0.518,28.787,0.123,0.0984,12.238,1.17
76.63483914,-0.622,29.032,0.128,0.2682,11.582,1.172
76.82675457,-0.574,29.024,0.118,0.0821,11.67,1.179
77.01875657,-0.639,29.073,0.13,0.3206,10.923,1.179
77.16199926,-0.696,29.076,0.132,0.3917,9.585,1.176
77.27401518,-0.692,29.291,0.129,0.4925,10.108,1.166
77.42965529,-0.643,29.719,0.12,0.4289,10.268,1.153
77.60876989,-0.664,29.884,0.135,0.4599,8.633,1.145
77.79398249,-0.674,29.97,0.144,0.4796,7.134,1.137
77.93655847,-0.659,29.912,0.133,0.3382,8.166,1.145
78.05602846,-0.706,29.946,0.128,0.5303,7.303,1.131
78.18207068,-0.557,30.083,0.159,0.6666,6.711,1.14
79.13344912,-0.553,30.759,0.141,0.7139,2.476,1.149
79.31528778,-0.531,30.494,0.156,0.749,2.213,1.152
79.475892,-0.692,30.447,0.159,0.8261,1.922,1.153
79.63385975,-0.639,30.121,0.162,0.7247,3.424,1.155
79.78973193,-0.619,30.007,0.17,0.7524,4.146,1.141
79.90961072,-0.624,29.948,0.175,0.7841,6.587,1.139
79.95561915,-0.474,29.88,0.149,0.886,6.972,1.136
79.96233996,-0.462,29.772,0.156,0.8792,6.844,1.13
80.09364026,-0.678,30.229,0.134,0.774,6.868,1.127
80.2540109,-0.404,30.77,0.087,0.7667,7.241,1.119
80.38398103,-0.554,30.937,0.152,0.7006,8.011,1.123
80.50662438,-0.39,31.104,0.155,0.8334,6.007,1.128
80.61872275,-0.67,31.002,0.164,0.6199,5.029,1.126
80.62393983,-0.651,31.005,0.171,0.6199,5.322,1.127
80.62512454,-0.656,31.007,0.162,0.6199,6.559,1.125
80.63218799,-0.657,31.013,0.174,0.609,8.834,1.134
80.63722324,-0.644,31.013,0.174,0.609,10.544,1.125
80.64535064,-0.646,31.013,0.167,0.609,10.055,1.123
80.65659196,-0.658,31.012,0.167,0.609,10.723,1.126
80.66107463,-0.678,31.015,0.174,0.6242,10.419,1.128
80.67039592,-0.677,31.033,0.166,0.6242,9.488,1.135
80.70058383,-0.814,30.948,0.169,0.6494,9.42,1.123
80.59713864,-0.732,31.047,0.18,0.748,8.618,1.115
80.45258158,-0.55,31.057,0.169,0.8252,9.551,1.129
80.33916342,-0.821,30.718,0.172,0.8231,10.699,1.133
80.25870821,-0.78,30.347,0.176,0.8425,10.071,1.155
80.17746017,-0.666,30.371,0.178,0.8649,11.534,1.182
80.07815883,-0.651,30.197,0.173,0.8151,13.073,1.214
79.67032967,-0.387,30.041,0.192,0.76,10.123,1.143
79.671384,-0.38,30.099,0.219,0.76,11.481,1.118
79.66057817,-0.429,30.069,0.196,0.7569,10.822,1.122
79.6104,-0.444,30.078,0.185,0.79559,9.798,1.128
79.4781,-0.431,30.348,0.191,0.85288,11.359,1.127
79.3383,-0.509,30.42,0.175,0.76806,10.656,1.123
79.2161,-0.193,30.537,0.166,0.7542,9.941,1.122
79.2205,-0.552,30.549,0.181,0.70175,9.069,1.116
79.1877,-0.471,30.502,0.16,0.71299,10.023,1.113
79.0824,-0.602,30.852,0.154,0.60418,9.532,1.114
78.9216,-0.658,30.693,0.134,0.4836,9.593,1.102
78.8209,-0.471,30.442,0.138,0.58223,8.582,1.08
78.7625,-0.37,30.138,0.153,0.63443,7.64,1.103
78.7647,-0.359,30.097,0.169,0.631,7.758,1.118
78.7647,-0.363,30.1,0.165,0.631,8.196,1.107
78.7672,-0.36,30.107,0.16,0.631,7.436,1.116
78.7785,-0.362,30.103,0.153,0.67753,6.754,1.114
78.7843,-0.352,30.104,0.157,0.67753,5.835,1.112
78.7846,-0.356,30.109,0.156,0.67753,5.199,1.12
78.786,-0.344,30.103,0.155,0.67753,4.189,1.118
78.7889,-0.407,30.102,0.156,0.67753,2.888,1.107
78.7522,-0.604,30.139,0.157,0.67939,4.016,1.109
78.6494,-0.103,30.256,0.134,0.71694,6.056,1.114
78.5012,-0.56,29.591,0.15,0.71069,6.395,1.108
78.3859,0.586,29.612,0.145,0.80582,6.39,1.114
78.3607,0.708,29.538,0.15,0.6517,5.641,1.118
78.3658,-0.495,29.507,0.157,0.57457,5.885,1.133
78.2601,-0.558,29.541,0.15,0.49666,6.809,1.109
78.103,-0.54,29.649,0.145,0.51332,6.535,1.109
77.9502,-0.454,29.803,0.125,0.6369,5.732,1.116
77.8642,0.235,29.964,0.151,0.65211,5.058,1.121
77.8543,-0.435,29.916,0.137,0.64236,4.666,1.115
77.8546,-0.434,29.92,0.134,0.64236,4.353,1.123
77.8565,-0.43,29.917,0.142,0.65386,4.498,1.124
77.8568,-0.429,29.931,0.141,0.65386,4.318,1.116
77.8609,-0.425,29.954,0.152,0.65386,4.462,1.107
77.8637,-0.47,29.997,0.16,0.65386,7.174,1.033
77.7709,-0.471,29.726,0.136,0.67066,7.906,1.027
77.5997,-0.43,28.946,0.125,0.5638,7.131,1.021
77.4367,-0.417,29.064,0.124,0.5861,5.751,1.034
